"limited","1"
"concept","3"
"managed","1"
"12:39:37","1"
"consolidated","2"
"2016-01-24","2"
"global","3"
"plenary","1"
"23:59:28","1"
"founded","1"
"8:58:55","1"
"primer","1"
"ecowas","4"
"21:38:56","1"
"consultancy.pdf","1"
"reluctant","1"
"content","1"
"8:12:03","1"
"clarification","1"
"//www.researchictafrica.net/data.php","1"
"electricity","4"
"segments","1"
"peering","2"
"opportunities","1"
"passage","1"
"environment","2"
"1:03:30","1"
"corrosive","1"
"21:48:07","1"
"partnerships","1"
"01:05:18","1"
"health","2"
"include","1"
"presentation","4"
"censorship","1"
"applied","1"
"telecomunications","1"
"memorandum","2"
"federation","1"
"8/11/2006","1"
"20telecom","3"
"construction","1"
"regional","5"
"account","1"
"//www.icafrica.org/en/knowledge-publications/article/west-africa-regional-communications-infrastructure-program-pid-135/","1"
"founders","1"
"tradeoffs","2"
"wikipedia","2"
"nigerian","5"
"7:25:48","1"
"10/8/2016","1"
"bringing","1"
"condition","1"
"//www.imf.org/en/news/articles/2016/10/08/am16-tr100716-transcript-of-african-department-press-briefing","1"
"entire","4"
"res=141","1"
"5:17:06","1"
"4:07:29","2"
"00:09:54","1"
"2:25:56","1"
"4:07:27","2"
"michael","1"
"applicable","1"
"05:27:30","1"
"utm_term=0_42a6d9fdf1-077f007dc6-114195369","1"
"2/26/2018","3"
"presenter","2"
"11:17:34","1"
"enhance","2"
"//fourier.networks.imdea.org/external/techrep_amc/","1"
"reliable","2"
"authorised","1"
"programme","2"
"roject","1"
"population","3"
"facilitating","1"
"leaders","1"
"findings","2"
"func=downloadfile","1"
"catid=2","1"
"//web.worldbank.org/wbsite/external/topics/extinformationandcommunicationandtechnologies/0","1"
"licensed","1"
"2015-11-11","1"
"second","2"
"//www.itu.int/itu-d/treg/events/survey/survey08_en.rtf","1"
"burnheim","1"
"//www.lta.gov.lr/doc/lta","1"
"celerate","1"
"download","2"
"assembly","2"
"estimated","1"
"makers","2"
"//ixp.net.ng/","1"
"un-served","1"
"established","1"
"2015-11-12","2"
"wsis+10","3"
"consumers","2"
"5/18/2006","1"
"decisions","2"
"section","2"
"selected","1"
"01:45:02","1"
"networks","1"
"access","23"
"9:43:42","1"
"version","1"
"issues","2"
"eventually","1"
"international","7"
"falling","1"
"20:23:51","1"
"officially","1"
"public","9"
